"Date","Price","Open","High","Low","Vol.","Change %"
"10/02/2024","146.46","143.57","146.52","143.43","","2.02%"
"10/01/2024","143.56","143.63","144.55","142.97","","-0.04%"
"09/30/2024","143.62","142.24","143.94","141.64","","1.01%"
"09/27/2024","142.19","144.82","146.50","142.07","","-1.80%"
"09/26/2024","144.80","144.76","145.23","144.11","","0.03%"
"09/25/2024","144.75","143.23","144.85","142.90","","1.08%"
"09/24/2024","143.21","143.62","144.70","143.12","","-0.27%"
"09/23/2024","143.60","143.94","144.46","143.17","","-0.22%"
"09/20/2024","143.91","142.63","144.51","141.74","","0.90%"
"09/19/2024","142.62","142.29","143.95","141.89","","0.25%"
"09/18/2024","142.27","142.42","142.73","140.44","","-0.09%"
"09/17/2024","142.40","140.62","142.48","140.32","","1.28%"
"09/16/2024","140.60","140.75","140.92","139.57","","-0.16%"
"09/13/2024","140.82","141.82","141.88","140.28","","-0.68%"
"09/12/2024","141.79","142.36","143.06","141.72","","-0.39%"
"09/11/2024","142.35","142.47","142.55","140.71","","-0.06%"
"09/10/2024","142.43","143.15","143.73","142.20","","-0.52%"
"09/09/2024","143.17","142.23","143.81","141.95","","0.63%"
"09/06/2024","142.27","143.45","143.92","141.78","","-0.82%"
"09/05/2024","143.44","143.74","144.25","142.85","","-0.20%"
"09/04/2024","143.73","145.48","145.57","143.71","","-1.20%"
"09/03/2024","145.47","146.90","147.21","145.16","","-0.97%"
"09/02/2024","146.90","146.19","147.19","145.78","","0.51%"
"08/30/2024","146.16","144.98","146.26","144.66","","0.81%"
"08/29/2024","144.98","144.61","145.57","144.22","","0.28%"
"08/28/2024","144.57","143.98","145.06","143.68","","0.43%"
"08/27/2024","143.95","144.53","145.19","143.92","","-0.39%"
"08/26/2024","144.52","144.24","144.66","143.45","","0.10%"
"08/23/2024","144.37","146.29","146.50","144.05","","-1.29%"
"08/22/2024","146.26","145.25","146.55","144.85","","0.69%"
"08/21/2024","145.26","145.26","146.61","144.45","","0.01%"
"08/20/2024","145.25","146.60","147.36","145.20","","-0.90%"
"08/19/2024","146.57","147.66","148.06","145.19","","-0.68%"
"08/16/2024","147.58","149.29","149.36","147.57","","-1.13%"
"08/15/2024","149.27","147.33","149.40","147.05","","1.33%"
"08/14/2024","147.31","146.84","147.59","146.07","","0.33%"
"08/13/2024","146.82","147.20","147.96","146.60","","-0.25%"
"08/12/2024","147.19","146.74","148.24","146.70","","0.40%"
"08/09/2024","146.61","147.29","147.82","146.27","","-0.45%"
"08/08/2024","147.28","146.67","147.55","145.43","","0.40%"
"08/07/2024","146.69","144.35","147.90","144.31","","1.66%"
"08/06/2024","144.30","144.17","146.38","143.62","","0.09%"
"08/05/2024","144.17","146.51","146.57","141.68","","-1.62%"
"08/02/2024","146.54","149.38","149.78","146.42","","-1.89%"
"08/01/2024","149.36","149.99","150.89","148.50","","-0.41%"
"07/31/2024","149.98","152.81","153.75","149.61","","-1.82%"
"07/30/2024","152.76","154.02","155.23","152.65","","-0.81%"
"07/29/2024","154.01","153.81","154.36","153.01","","0.19%"
"07/26/2024","153.72","153.95","154.75","153.13","","-0.14%"
"07/25/2024","153.93","153.90","154.33","151.94","","0.04%"
"07/24/2024","153.87","155.56","156.00","153.11","","-1.10%"
"07/23/2024","155.58","157.03","157.11","155.56","","-0.90%"
"07/22/2024","157.00","157.45","157.63","156.28","","-0.31%"
"07/19/2024","157.49","157.38","157.88","156.96","","0.08%"
"07/18/2024","157.37","156.15","157.41","155.37","","0.77%"
"07/17/2024","156.16","158.36","158.63","156.06","","-1.38%"
"07/16/2024","158.34","158.07","158.87","158.00","","0.21%"
"07/15/2024","158.01","157.88","158.43","157.17","","0.08%"
"07/12/2024","157.89","158.82","159.45","157.38","","-0.57%"
"07/11/2024","158.80","161.64","161.77","157.43","","-1.78%"
"07/10/2024","161.67","161.35","161.85","161.26","","0.22%"
"07/09/2024","161.31","160.79","161.52","160.73","","0.31%"
"07/08/2024","160.81","160.70","161.13","160.26","","0.06%"
"07/05/2024","160.72","161.26","161.40","160.34","","-0.33%"
"07/04/2024","161.25","161.70","161.70","160.95","","-0.27%"
"07/03/2024","161.68","161.46","162.01","160.77","","0.15%"
"07/02/2024","161.44","161.51","161.78","161.27","","-0.01%"
"07/01/2024","161.45","160.89","161.76","160.66","","0.39%"
"06/28/2024","160.83","160.76","161.28","160.26","","0.06%"
"06/27/2024","160.74","160.82","160.86","160.28","","-0.03%"
"06/26/2024","160.79","159.71","160.88","159.61","","0.69%"
"06/25/2024","159.69","159.58","159.81","159.19","","0.06%"
"06/24/2024","159.59","159.84","159.93","158.82","","-0.13%"
"06/21/2024","159.79","158.94","159.86","158.67","","0.56%"
"06/20/2024","158.90","158.10","158.95","157.92","","0.52%"
"06/19/2024","158.08","157.85","158.12","157.60","","0.15%"
"06/18/2024","157.85","157.74","158.25","157.51","","0.09%"
